X,Y,OBJECTID,KODAS,GATVE,NR,RAIDE,NR2,GYV_ID,ADRESAS,MOKSSK,VARDAS,SENIUNIJA,TELEF,IMKODAS,TIPAST,KALBA,KALBA1,KALBA2,KALBA3,TALPA,LAUKIA,PASTABA,OBJ_ID,MOKSSK_1_4,KALBOS_ID,PRITNEIGAL
579692.599625,6067489.695625,5172,0,Gedvydžių g.,8, ,17,17,Gedvydžių g. 8,1167,Vilniaus Abraomo Kulviečio klasikinė gimnazija,A. Kulviečio klasikinė gimnazija,+370 5 246 1370,195005870,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,884,432,aptarnauja visą miesto teritoriją,1,60,1,2
582023.09975,6068440.10025,5176,0,Mokyklos g.,9, ,2,2,Mokyklos g. 9,729,Vilniaus Jeruzalės progimnazija,Jeruzalės progimnazija,+370 5 269 7203,190000937,PROGIMNAZIJOS,lietuvių,lietuvių,, ,620,396, ,5,13,1,1
580407.55,6066698.500625,5178,0,,10, ,24,24,Ateities g. 44,30,VšĮ Vilniaus inžinerijos ir technologijų licėjus,Vitlis,+370 655 14411,302562877,DARŽELIAI - MOKYKLOS,anglų lietuvių rusų,lietuvių,anglų,rusų,0,0,,7,73,5,0
581156.8455,6068186.186625,5182,0, ,0, ,24,24,V. Daunio g. 78,0,"VšĮ ""Augu""", ,+370 652 03 099,302701526,PRADINĖS MOKYKLOS,, , , ,,,,11,0,,0
582371.18625,6068294.55075,5186,0,Jeruzalės g.,21, ,23,23,Jeruzalės g. 21,33,Šv. Juozapo mokykla,Šv. Juozapo pradinė mokykla,+370 671 31604,302627435,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,Reg.: Peteliškių g. 2-21,15,73,1,0
587491.114125,6072346.62925,5193,0,Bubilo g.,8, ,2,2,Bubilo g. 8,1130,Vilniaus Balsių progimnazija,Balsių progimnazija,+370 604 41509,302589995,PROGIMNAZIJOS,lietuvių,lietuvių, , ,826,648, ,22,13,1,1
579023.599875,6064782.299625,5206,376,Viršuliškių g.,7, ,2,2,Viršuliškių g. 7,536,Vilniaus Viršuliškių mokykla,Viršuliškių mokykla,+370 5 240 0584,190002379,PROGIMNAZIJOS,lietuvių,lietuvių, , ,900,286, ,35,13,1,2
578617.099625,6063800.0,5207,331,Justiniškių g.,43, ,12,2,Justiniškių g. 43,692,Vilniaus Levo Karsavino mokykla,L. Karsavino mokykla,+370 5 241 0213,190002411,PAGRINDINĖS MOKYKLOS,rusų, , ,rusų,718,0, ,36,25,2,2
578044.20025,6062667.99975,5208,336,D. Gerbutavičiaus g.,9, ,2,2,D. Gerbutavičiaus g. 9,570,Vilniaus „Ryto“ progimnazija,„Ryto“ progimnazija,+370 5 245 4198,190006057,PROGIMNAZIJOS,lietuvių,lietuvių, , ,958,264, ,37,13,1,3
578992.324125,6062791.301875,5209,161,I. Šimulionio g.,8, ,21,2,I. Šimulionio g. 8,451,Vilniaus darželis-mokykla „Lokiukas“,„Lokiukas“ darželis - mokykla,+370 5 245 5798,190028139,DARŽELIAI - MOKYKLOS,rusų, , ,rusų,182,0, ,38,21,2,3
578838.646625,6062726.086875,5210,167,I. Šimulionio g.,6, ,26,26,I. Šimulionio g. 6,93,Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras,„Vilties“ spec. mokykla-daugiafunkcinis centras,+370 5 244 2622,190034188,SPEC.MOKYKLOS-DAUGIAFUNKCINIAI CENTRAI,lietuvių,lietuvių, , ,0,0,Specialioji mokykla,39,80,1,2
579733.3005,6064937.39975,5211,384,Čiobiškio g.,1, ,2,2,Čiobiškio g. 1,559,Vilniaus Maironio progimnazija,Maironio progimnazija,+370 5 240 0546,190002564,PROGIMNAZIJOS,lietuvių,lietuvių, , ,764,216, ,40,13,1,1
579137.150625,6062957.049375,5220,0,A. J. Povilaičio g.,1, ,13,13,A. J. Povilaičio g. 1,604,Vilniaus Vasilijaus Kačialovo gimnazija,V. Kačialovo gimnazija,+370 5 246 0039,290005860,GIMNAZIJOS,rusų, , ,rusų,0,0,formuoja 5 6 7 ir 8-as klases,49,26,2,3
578160.17425,6064988.55675,5222,313,Taikos g.,157, ,2,2,Taikos g. 157,888,Vilniaus „Taikos“ progimnazija,„Taikos“ progimnazija,+370 5 240 0455,195007889,PROGIMNAZIJOS,lietuvių,lietuvių, , ,856,240, ,51,13,1,3
578090.9585,6064704.2965,5224,0,Taikos g.,189, ,22,2,Taikos g. 189,441,Vilniaus „Vyturio“ pradinė mokykla,„Vyturio“ pradinė mokykla,+370 5 246 0740,190009167,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,392,392, ,53,11,1,3
579553.843875,6063730.057875,5227,0,Viršuliškių g.,103, ,26,26,Viršuliškių g. 103,158,Vilniaus „Atgajos“ specialioji mokykla,„Atgajos“ spec. mokykla,+370 5 241 6060,190981194,SPEC. PAGRINDINĖS MOKYKLOS,lietuvių rusų,lietuvių, ,rusų,0,0,Specialioji mokykla,56,80,5,2
579620.938875,6063812.656,5229,0,Viršuliškių g.,103, ,24,24,Viršuliškių g. 103,15,"VšĮ ""Saulės"" privati gimnazija",Saulės gimnazija,+370 5 240 1546,191672717,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,Reg.: Justiniškių g. 84,58,73,1,0
578699.466625,6063315.019,5231,0,Laisvės pr.,58, ,24,24,Laisvės pr. 58,9,"Taikomųjų mokslų licėjus, VŠĮ","Taikomųjų mokslų licėjus, VŠĮ",+370 5 245 3366,302804355,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0, ,60,0,1,0
576100.4,6064117.28325,5233,0,Įsruties g.,3, ,13,13,Įsruties g. 3,449,Vilniaus Pilaitės gimnazija,Pilaitės gimnazija,+370 5 230 7442,190006438,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,62,16,1,1
575544.29975,6063570.800125,5234,0,Gilužio g.,15, ,23,23,Bitėnų g. 2C,112,Vilniaus krikščionių gimnazija,Vilniaus krikščionių mokykla pagrindinė mokykla,+370 670 21828,191709877,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,63,73,1,0
576112.0375,6064020.0995,5237,0,Vydūno g.,17,A,2,2,Vydūno g. 17A,1751,Vilniaus Martyno Mažvydo progimnazija,M. Mažvydo progimnazija,+370 5 279 5579,195003862,PROGIMNAZIJOS,lietuvių,lietuvių, , ,980,840, ,66,13,1,1
580302.300375,6063024.8995,5247,0,Žalioji g.,4, ,13,13,Žalioji g. 4,1091,Vilniaus Žvėryno gimnazija,Žvėryno gimnazija,+370 5 275 1037,190001081,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,76,14,1,3
580525.455875,6063879.72375,5249,0,Miglos g.,1,A,22,2,Miglos g. 1A,0,"Vilniaus kunigaikščio Gedimino progimnazija, skyrius",Kunigaikščio Gedimino progimnazija (skyrius),+370 5 279 0346,191665719,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,skyrius,153,11,1,3
580547.780625,6063794.02875,5250,145,Miglos g.,1, ,21,2,Miglos g. 1,484,Vilniaus darželis - mokykla „Saulutė“,„Saulutė“ darželis - mokykla,+370 5 275 6056,190022061,DARŽELIAI - MOKYKLOS,rusų, ,,rusų,0,0,,79,21,2,2
580713.60025,6065016.199625,5251,0,Šeškinės g.,25, ,2,2,Šeškinės g. 25,711,Vilniaus Žygimanto Augusto progimnazija,Žygimanto Augusto progimnazija,+370 5 246 8454,290003090,PROGIMNAZIJOS,lietuvių,lietuvių, , ,756,264, ,80,13,1,2
580146.239625,6064500.1715,5252,0,Dūkštų g.,30, ,2,2,Dūkštų g. 30,717,Vilniaus Sofijos Kovalevskajos progimnazija,S. Kovalevskajos progimnazija,+370 5 240 0552,304075156,PROGIMNAZIJOS,rusų, , ,rusų,510,0, ,81,23,2,2
580089.6935,6063111.694,5253,0,Blindžių g.,3, ,22,2,Blindžių g. 3,0,"Vilniaus kunigaikščio Gedimino progimnazija, skyrius",Kunigaikščio Gedimino progimnazija (skyrius),+370 5 275 2310,191665719,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,336,skyrius,82,11,1,3
580126.059875,6064267.40075,5263,0,Ozo g.,39, ,17,17,Ozo g. 39,1403,Vilniaus Ozo gimnazija,Ozo gimnazija,+370 5 240 0786,190009014,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,aptarnauja visą miesto teritoriją,92,70,1,3
581821.085875,6063491.537625,5264,339,Linkmenų g.,8, ,17,17,Linkmenų g. 8,896,Vilniaus Vladislavo Sirokomlės gimnazija,V. Sirokomlės vidurinė mokykla,+370 5 275 1047,190001462,ISPL GIMNAZIJOS,lenkų, ,lenkų, ,794,0,aptarnauja visą miesto teritoriją,93,50,3,3
