service_id,date,exception_type
465846,20260222,2
476351,20260421,2
476351,20270101,2
476351,20260311,2
476351,20260501,2
476351,20260624,2
476351,20260706,2
476351,20260815,2
476351,20261101,2
476351,20261102,2
476351,20261224,2
476351,20261225,2
476351,20261226,2
476352,20260421,1
476352,20270101,1
476352,20260311,1
476352,20260501,1
476352,20260624,1
476352,20260706,1
476352,20260815,1
476352,20261101,1
476352,20261102,1
476352,20261224,1
476352,20261225,1
476352,20261226,1
481742,20260421,2
481742,20270101,2
481742,20260311,2
481742,20260501,2
481742,20260624,2
481742,20260706,2
481742,20260815,2
481742,20261101,2
481742,20261102,2
481742,20261224,2
481742,20261225,2
481742,20261226,2
477837,20260421,1
477837,20270101,1
477837,20260311,1
477837,20260501,1
477837,20260624,1
477837,20260706,1
477837,20260815,1
477837,20261101,1
477837,20261102,1
477837,20261224,1
477837,20261225,1
477837,20261226,1
474654,20260421,2
474654,20270101,2
474654,20260311,2
474654,20260501,2
474654,20260624,2
474654,20260706,2
474654,20260815,2
474654,20261101,2
474654,20261102,2
474654,20261224,2
474654,20261225,2
474654,20261226,2
474655,20260421,2
474655,20270101,2
474655,20260311,2
474655,20260501,2
474655,20260624,2
474655,20260706,2
474655,20260815,2
474655,20261101,2
474655,20261102,2
474655,20261224,2
474655,20261225,2
474655,20261226,2
465657,20260421,1
465657,20270101,1
465657,20260311,1
465657,20260501,1
465657,20260624,1
465657,20260706,1
465657,20260815,1
465657,20261101,1
465657,20261102,1
465657,20261224,1
465657,20261225,1
465657,20261226,1
481869,20260421,2
481869,20270101,2
481869,20260311,2
481869,20260501,2
481869,20260624,2
481869,20260706,2
481869,20260815,2
481869,20261101,2
481869,20261102,2
481869,20261224,2
481869,20261225,2
481869,20261226,2
477839,20260421,1
477839,20270101,1
477839,20260311,1
477839,20260501,1
477839,20260624,1
477839,20260706,1
477839,20260815,1
477839,20261101,1
477839,20261102,1
477839,20261224,1
477839,20261225,1
477839,20261226,1
477840,20260421,2
477840,20270101,2
477840,20260311,2
477840,20260501,2
477840,20260624,2
477840,20260706,2
477840,20260815,2
477840,20261101,2
477840,20261102,2
477840,20261224,2
477840,20261225,2
477840,20261226,2
474657,20260421,1
474657,20270101,1
474657,20260311,1
474657,20260501,1
474657,20260624,1
474657,20260706,1
474657,20260815,1
474657,20261101,1
474657,20261102,1
474657,20261224,1
474657,20261225,1
474657,20261226,1
471596,20260421,2
471596,20270101,2
471596,20260311,2
471596,20260501,2
471596,20260624,2
471596,20260706,2
471596,20260815,2
471596,20261101,2
471596,20261102,2
471596,20261224,2
471596,20261225,2
471596,20261226,2
484506,20260421,2
484506,20270101,2
484506,20260311,2
484506,20260501,2
484506,20260624,2
484506,20260706,2
484506,20260815,2
484506,20261101,2
484506,20261102,2
484506,20261224,2
484506,20261225,2
484506,20261226,2
481404,20260421,1
481404,20270101,1
481404,20260311,1
481404,20260501,1
481404,20260624,1
481404,20260706,1
481404,20260815,1
481404,20261101,1
481404,20261102,1
481404,20261224,1
481404,20261225,1
481404,20261226,1
480724,20260421,2
480724,20270101,2
480724,20260311,2
480724,20260501,2
480724,20260624,2
480724,20260706,2
480724,20260815,2
480724,20261101,2
480724,20261102,2
480724,20261224,2
480724,20261225,2
480724,20261226,2
481076,20260421,1
481076,20270101,1
481076,20260311,1
481076,20260501,1
481076,20260624,1
481076,20260706,1
481076,20260815,1
481076,20261101,1
481076,20261102,1
481076,20261224,1
481076,20261225,1
481076,20261226,1
474656,20260421,1
474656,20270101,1
474656,20260311,1
474656,20260501,1
474656,20260624,1
474656,20260706,1
474656,20260815,1
474656,20261101,1
474656,20261102,1
474656,20261224,1
474656,20261225,1
474656,20261226,1
465648,20260421,2
465648,20270101,2
465648,20260311,2
465648,20260501,2
465648,20260624,2
465648,20260706,2
465648,20260815,2
465648,20261101,2
465648,20261102,2
465648,20261224,2
465648,20261225,2
465648,20261226,2
465649,20260421,1
465649,20270101,1
465649,20260311,1
465649,20260501,1
465649,20260624,1
465649,20260706,1
465649,20260815,1
465649,20261101,1
465649,20261102,1
465649,20261224,1
465649,20261225,1
465649,20261226,1
481741,20260421,2
481741,20270101,2
481741,20260311,2
481741,20260501,2
481741,20260624,2
481741,20260706,2
481741,20260815,2
481741,20261101,2
481741,20261102,2
481741,20261224,2
481741,20261225,2
481741,20261226,2
465663,20260421,1
465663,20270101,1
465663,20260311,1
465663,20260501,1
465663,20260624,1
465663,20260706,1
465663,20260815,1
465663,20261101,1
465663,20261102,1
465663,20261224,1
465663,20261225,1
465663,20261226,1
484509,20260421,2
484509,20270101,2
484509,20260311,2
484509,20260501,2
484509,20260624,2
484509,20260706,2
484509,20260815,2
484509,20261101,2
484509,20261102,2
484509,20261224,2
484509,20261225,2
484509,20261226,2
465651,20260421,1
465651,20270101,1
465651,20260311,1
465651,20260501,1
465651,20260624,1
465651,20260706,1
465651,20260815,1
465651,20261101,1
465651,20261102,1
465651,20261224,1
465651,20261225,1
465651,20261226,1
475419,20260421,1
475419,20270101,1
475419,20260311,1
475419,20260501,1
475419,20260624,1
475419,20260706,1
475419,20260815,1
475419,20261101,1
475419,20261102,1
475419,20261224,1
475419,20261225,1
475419,20261226,1
475200,20260421,2
475200,20270101,2
475200,20260311,2
475200,20260501,2
475200,20260624,2
475200,20260706,2
475200,20260815,2
475200,20261101,2
475200,20261102,2
475200,20261224,2
475200,20261225,2
475200,20261226,2
470795,20260421,2
470795,20270101,2
470795,20260311,2
470795,20260501,2
470795,20260624,2
470795,20260706,2
470795,20260815,2
470795,20261101,2
470795,20261102,2
470795,20261224,2
470795,20261225,2
470795,20261226,2
470796,20260421,1
470796,20270101,1
470796,20260311,1
470796,20260501,1
470796,20260624,1
470796,20260706,1
470796,20260815,1
470796,20261101,1
470796,20261102,1
470796,20261224,1
470796,20261225,1
470796,20261226,1
465966,20260421,2
465966,20270101,2
465966,20260311,2
465966,20260501,2
465966,20260624,2
465966,20260706,2
465966,20260815,2
465966,20261101,2
465966,20261102,2
465966,20261224,2
465966,20261225,2
465966,20261226,2
465667,20260421,1
465667,20270101,1
465667,20260311,1
465667,20260501,1
465667,20260624,1
465667,20260706,1
465667,20260815,1
465667,20261101,1
465667,20261102,1
465667,20261224,1
465667,20261225,1
465667,20261226,1
471448,20260421,2
471448,20270101,2
471448,20260311,2
471448,20260501,2
471448,20260624,2
471448,20260706,2
471448,20260815,2
471448,20261101,2
471448,20261102,2
471448,20261224,2
471448,20261225,2
471448,20261226,2
465967,20260421,1
465967,20270101,1
465967,20260311,1
465967,20260501,1
465967,20260624,1
465967,20260706,1
465967,20260815,1
465967,20261101,1
465967,20261102,1
465967,20261224,1
465967,20261225,1
465967,20261226,1
481865,20260421,2
481865,20270101,2
481865,20260311,2
481865,20260501,2
481865,20260624,2
481865,20260706,2
481865,20260815,2
481865,20261101,2
481865,20261102,2
481865,20261224,2
481865,20261225,2
481865,20261226,2
477179,20260421,1
477179,20270101,1
477179,20260311,1
477179,20260501,1
477179,20260624,1
477179,20260706,1
477179,20260815,1
477179,20261101,1
477179,20261102,1
477179,20261224,1
477179,20261225,1
477179,20261226,1
476331,20260421,2
476331,20270101,2
476331,20260311,2
476331,20260501,2
476331,20260624,2
476331,20260706,2
476331,20260815,2
476331,20261101,2
476331,20261102,2
476331,20261224,2
476331,20261225,2
476331,20261226,2
476332,20260421,1
476332,20270101,1
476332,20260311,1
476332,20260501,1
476332,20260624,1
476332,20260706,1
476332,20260815,1
476332,20261101,1
476332,20261102,1
476332,20261224,1
476332,20261225,1
476332,20261226,1
479932,20260421,2
479932,20270101,2
479932,20260311,2
479932,20260501,2
479932,20260624,2
479932,20260706,2
479932,20260815,2
479932,20261101,2
479932,20261102,2
479932,20261224,2
479932,20261225,2
479932,20261226,2
465675,20260421,1
465675,20270101,1
465675,20260311,1
465675,20260501,1
465675,20260624,1
465675,20260706,1
465675,20260815,1
465675,20261101,1
465675,20261102,1
465675,20261224,1
465675,20261225,1
465675,20261226,1
479933,20260421,2
479933,20270101,2
479933,20260311,2
479933,20260501,2
479933,20260624,2
479933,20260706,2
479933,20260815,2
479933,20261101,2
479933,20261102,2
479933,20261224,2
479933,20261225,2
479933,20261226,2
476353,20260421,1
476353,20270101,1
476353,20260311,1
476353,20260501,1
476353,20260624,1
476353,20260706,1
476353,20260815,1
476353,20261101,1
476353,20261102,1
476353,20261224,1
476353,20261225,1
476353,20261226,1
473781,20260421,2
473781,20270101,2
473781,20260311,2
473781,20260501,2
473781,20260624,2
473781,20260706,2
473781,20260815,2
473781,20261101,2
473781,20261102,2
473781,20261224,2
473781,20261225,2
473781,20261226,2
465678,20260421,2
465678,20270101,2
465678,20260311,2
465678,20260501,2
465678,20260624,2
465678,20260706,2
465678,20260815,2
465678,20261101,2
465678,20261102,2
465678,20261224,2
465678,20261225,2
465678,20261226,2
465679,20260421,1
465679,20270101,1
465679,20260311,1
465679,20260501,1
465679,20260624,1
465679,20260706,1
465679,20260815,1
465679,20261101,1
465679,20261102,1
465679,20261224,1
465679,20261225,1
465679,20261226,1
473777,20260421,1
473777,20270101,1
473777,20260311,1
473777,20260501,1
473777,20260624,1
473777,20260706,1
473777,20260815,1
473777,20261101,1
473777,20261102,1
473777,20261224,1
473777,20261225,1
473777,20261226,1
471599,20260421,2
471599,20270101,2
471599,20260311,2
471599,20260501,2
471599,20260624,2
471599,20260706,2
471599,20260815,2
471599,20261101,2
471599,20261102,2
471599,20261224,2
471599,20261225,2
471599,20261226,2
465683,20260421,1
465683,20270101,1
465683,20260311,1
465683,20260501,1
465683,20260624,1
465683,20260706,1
465683,20260815,1
465683,20261101,1
465683,20261102,1
465683,20261224,1
465683,20261225,1
465683,20261226,1
470006,20260421,2
470006,20270101,2
470006,20260311,2
470006,20260501,2
470006,20260624,2
470006,20260706,2
470006,20260815,2
470006,20261101,2
470006,20261102,2
470006,20261224,2
470006,20261225,2
470006,20261226,2
470007,20260421,1
470007,20270101,1
470007,20260311,1
470007,20260501,1
470007,20260624,1
470007,20260706,1
470007,20260815,1
470007,20261101,1
470007,20261102,1
470007,20261224,1
470007,20261225,1
470007,20261226,1
484833,20260421,2
484833,20270101,2
484833,20260311,2
484833,20260501,2
484833,20260624,2
484833,20260706,2
484833,20260815,2
484833,20261101,2
484833,20261102,2
484833,20261224,2
484833,20261225,2
484833,20261226,2
465687,20260421,1
465687,20270101,1
465687,20260311,1
465687,20260501,1
465687,20260624,1
465687,20260706,1
465687,20260815,1
465687,20261101,1
465687,20261102,1
465687,20261224,1
465687,20261225,1
465687,20261226,1
481623,20260421,2
481623,20270101,2
481623,20260311,2
481623,20260501,2
481623,20260624,2
481623,20260706,2
481623,20260815,2
481623,20261101,2
481623,20261102,2
481623,20261224,2
481623,20261225,2
481623,20261226,2
465689,20260421,1
465689,20270101,1
465689,20260311,1
465689,20260501,1
465689,20260624,1
465689,20260706,1
465689,20260815,1
465689,20261101,1
465689,20261102,1
465689,20261224,1
465689,20261225,1
465689,20261226,1
476334,20260421,2
476334,20270101,2
476334,20260311,2
476334,20260501,2
476334,20260624,2
476334,20260706,2
476334,20260815,2
476334,20261101,2
476334,20261102,2
476334,20261224,2
476334,20261225,2
476334,20261226,2
471939,20260421,1
471939,20270101,1
471939,20260311,1
471939,20260501,1
471939,20260624,1
471939,20260706,1
471939,20260815,1
471939,20261101,1
471939,20261102,1
471939,20261224,1
471939,20261225,1
471939,20261226,1
465692,20260421,2
465692,20270101,2
465692,20260311,2
465692,20260501,2
465692,20260624,2
465692,20260706,2
465692,20260815,2
465692,20261101,2
465692,20261102,2
465692,20261224,2
465692,20261225,2
465692,20261226,2
465693,20260421,1
465693,20270101,1
465693,20260311,1
465693,20260501,1
465693,20260624,1
465693,20260706,1
465693,20260815,1
465693,20261101,1
465693,20261102,1
465693,20261224,1
465693,20261225,1
465693,20261226,1
481619,20260421,2
481619,20270101,2
481619,20260311,2
481619,20260501,2
481619,20260624,2
481619,20260706,2
481619,20260815,2
481619,20261101,2
481619,20261102,2
481619,20261224,2
481619,20261225,2
481619,20261226,2
465695,20260421,1
465695,20270101,1
465695,20260311,1
465695,20260501,1
465695,20260624,1
465695,20260706,1
465695,20260815,1
