X,Y,objectid,id,pavadinimas,gatve,kryptis,atsakingas,savivaldybe,peronas,paviljonas,paviljono_piklausomybe,paviljono_tipas,suolas,siuksliu_deze,svieslente,transporto_balsas,GlobalID
591516.375,6061947.5001,2,2353,Respublikinė psichiatrijos ligoninė,Parko g.,link žiedo,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,yra,reikia perkelti,nėra,yra - veikia,f429532d-d1e0-472e-9eb7-78d52298a65e
590933.6308,6062714.4634,3,2346,Tremtinių st.,Pergalės g.,link Parko g.,SĮSP,Vilniaus miesto,yra,nėra,JCDecaux, ,nėra,yra,nėra,dingęs,2cd44849-dca0-46a4-9493-6aa458187a87
581015.960621355,6059820.48764883,4,0536,Skroblų st.,Naugarduko g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,dingęs,60f79963-8008-471c-9abc-11acc41f1d6c
570750.4644,6059774.5626,5,4103,Šviesos st.,Kovo 11-osios g.,iš Vilniaus,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,yra,reikia perkelti,nėra,dingęs,0be8c08d-30e0-4d16-9157-4b44e96453d9
582551.395,6062523.7884,6,0101,Žaliasis tiltas,Kalvarijų g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Stiklinis,yra,reikia perkelti,yra,yra - veikia,5733d2f0-3ddb-419a-b17f-f6e37bc523a9
582518.7725,6062522.0584,7,0102,Žaliasis tiltas,Kalvarijų g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,yra,yra - veikia,6f7bb651-77db-4b51-a4f0-0964aef49765
582356.4632,6062846.1316,8,0103,Europos aikštė,Konstitucijos pr.,link Kalvarijų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,JCDecaux-dvigubas,nėra,yra,yra,yra - veikia,b2fee0b4-cc22-47dc-82a8-cf2c3e08f85f
582346.9375,6062885.5001,9,0104,Europos aikštė,Konstitucijos pr.,link Geležinio Vilko,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,JCDecaux-dvigubas,yra,yra,yra,yra - veikia,9b81a31d-41a5-40e9-b3e1-690b59973e1b
581623.9193,6063160.5157,10,0105,Lietuvos sąjūdžio kelias,Konstitucijos pr.,link Kalvarijų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,JCDecaux-dvigubas,nėra,yra,yra,yra - veikia,37fa4075-857d-4b80-9bcd-163f1d07f128
581636.8125,6063196.6459,11,0106,Lietuvos sąjūdžio kelias,Konstitucijos pr.,link Geležinio Vilko,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,JCDecaux-dvigubas,nėra,yra,yra,dingęs,d3a69b19-2c4f-436d-a5ac-d195dc4913ea
581500.55,6063047.6589,12,0108,Studentų st.,Geležinio Vilko st.,link Konstrukcijos pr.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,yra - veikia,1c7ea6d7-fa96-4601-9428-c83ac3b24c0a
582693.125,6062762.5001,13,0109,Lvivo st.,Šeimyniškių g.,link Rinktinės g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Stiklinis,nėra,reikia perkelti,yra,yra - veikia,81f7d3c5-ac0d-4c35-9902-704af28a6132
582764.375,6062773.5001,14,0110,Lvivo st.,Šeimyniškių g.,link Kalvarijų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,yra,yra,nėra,yra - veikia,82b3dc75-0f51-4f59-9224-b620ce2a75f3
583129.5,6062803.0001,15,0111,Rinktinės st.,Šeimyniškių g.,link Žirmūnų tilto,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,JCDecaux-dvigubas,nėra,reikia perkelti,nėra,nėra,ed6efb8d-0cfb-41bf-a7c2-704ed7174a18
583600.375,6062899.5001,16,0112,Šeimyniškių st.,Šeimyniškių g.,link Žirmūnų tilto,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Stiklinis,yra,yra,nėra,yra - veikia,b78d1cf9-649b-43d6-b5c2-1437eb37b92c
582064.7214,6062996.0235,17,0113,Nacionalinė dailės galerija,Konstitucijos pr.,link Kalvarijų g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,yra - veikia,c1f12a33-e4e1-4b9a-9e88-7854ab346e7a
581939.1797,6063107.9767,18,0114,Nacionalinė dailės galerija,Konstitucijos pr.,link Geležinio Vilko,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,yra (epaper),yra - veikia,423090d3-27cb-4bb1-b7ab-0f306bcae0ec
583004.875,6062111.5001,19,0201,Karaliaus Mindaugo tiltas,Žygimantų g.,link Žaliojo tilto,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Stiklinis,yra,yra,yra,yra - veikia,188834ab-aac8-4df8-a52e-7061d942e454
582954.25,6062120.0001,20,0202,Karaliaus Mindaugo tiltas,Žygimantų g.,link T. Kosciuškos g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,yra - veikia,0fdd365e-4ec7-4eed-b114-b228f9d6dda7
